id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified,
1,1605605280829820928,"https://twitter.com/terkinidotid/statuses/1605605280829820928","https://twitter.com/terkinidotid/statuses/1605605280829820928","terkinidotid","Berapa UMK Kabupaten Sukabumi di 2023?: Bulan Desember tahun 2022 ini Upah minimum kabupaten/kota Sukabumi (UMK) 2023 resmi ditetapkan, hal tersebut disampaikan oleh Dinas Tenaga Kerja dan… https://t.co/agLeUsKtRe #News #2023 #Disnakertrans #KabupatenKota #RidwanKamil","Berapa UMK Kabupaten Sukabumi di 2023?: Bulan Desember tahun 2022 ini Upah minimum kabupaten/kota Sukabumi (UMK) 2023 resmi ditetapkan, hal tersebut disampaikan oleh Dinas Tenaga Kerja dan… https://t.co/agLeUsKtRe #News #2023 #Disnakertrans #KabupatenKota #RidwanKamil","2022-12-21 11:45:04","dlvr.it",0,0,"in","","original","",0,0,"",0,0,123757780,"https://pbs.twimg.com/profile_images/1362958100991406087/LLAjuq7m_normal.jpg",59579,475,11514,"2010-03-17 00:16:53","https://t.co/bbn90zxutU adalah portal berita independen yang telah terverifikasi dewan pers Indonesia. Motto kami adalah Cerdas Tak Menggurui","Makassar, Indonesia","",
2,1605593665878884352,"https://twitter.com/ahyathalda/statuses/1605593665878884352","https://twitter.com/ahyathalda/statuses/1605593665878884352","ahyathalda","semoga kerjasamanya segera direalisasikan #bersamajuara #ridwankamil https://t.co/s11uofemud","semoga kerjasamanya segera direalisasikan #bersamajuara #ridwankamil https://t.co/s11uofemud","2022-12-21 10:58:55","Twitter Web App",0,0,"in","Pj Gubernur DKI Jakarta Heru Budi Hartono berdiskusi dengan Gubernur Jawa Barat @ridwankamil di Balai Kota, Jakarta Pusat. Keduanya membahas berbagai kerja sama yang bisa dilakukan antara dua provinsi yang berbatasan ini. https://t.co/0FsZLrypcj  #BersamaJuara","quote","twettyayu",483896158,1605450145687928833,"",0,0,2421663451,"https://pbs.twimg.com/profile_images/574898229466157056/5KBYFIyL_normal.jpeg",584,88,198,"2014-04-01 02:33:55","Salah satu sifat munafik itu ialah menganggap nasihat org sbagai sindiran kpd y, sebab itu dia tak mau menerima y.","Barong tongkok. (Kubar)","",
3,1605593451608711168,"https://twitter.com/ahyathalda/statuses/1605593451608711168","https://twitter.com/ahyathalda/statuses/1605593451608711168","ahyathalda","Masjid Al-Jabbar adalah mahakarya dari sang maestro #ridwankamil #bersamajuara https://t.co/85JZsowa8u","Masjid Al-Jabbar adalah mahakarya dari sang maestro #ridwankamil #bersamajuara https://t.co/85JZsowa8u","2022-12-21 10:58:04","Twitter Web App",0,0,"in","Masjid Al Jabbar adalah rancangan dari Ridwan Kamil yang saat itu belum menjabat sebagai Gubernur Jawa Barat. Dan Masjid Al Jabbar adalah mahakarya Jawa Barat arsiteknya Kang Emil. https://t.co/4VTkTcrKyc  #BersamaJuara","quote","twettyayu",483896158,1605449688039452672,"",0,0,2421663451,"https://pbs.twimg.com/profile_images/574898229466157056/5KBYFIyL_normal.jpeg",584,88,198,"2014-04-01 02:33:55","Salah satu sifat munafik itu ialah menganggap nasihat org sbagai sindiran kpd y, sebab itu dia tak mau menerima y.","Barong tongkok. (Kubar)","",
4,1605593015564718081,"https://twitter.com/ahyathalda/statuses/1605593015564718081","https://twitter.com/ahyathalda/statuses/1605593015564718081","ahyathalda","harus segera di-action bersama-sama #bersamajuara #ridwankamil https://t.co/SoMObWg56O","harus segera di-action bersama-sama #bersamajuara #ridwankamil https://t.co/SoMObWg56O","2022-12-21 10:56:20","Twitter Web App",0,0,"in","@ridwankamil dan Heru Budi Hartono membahas sejumlah masalah yang menyangkut dengan kedua provinsi yaitu banjir dan kependudukan. Dua masalah yang harus diselesaikan secara bersama-sama oleh kedua pemerintah provinsi.   https://t.co/m0eWEZjCbp  #BersamaJuara","quote","twettyayu",483896158,1605448876601008128,"",0,0,2421663451,"https://pbs.twimg.com/profile_images/574898229466157056/5KBYFIyL_normal.jpeg",584,88,198,"2014-04-01 02:33:55","Salah satu sifat munafik itu ialah menganggap nasihat org sbagai sindiran kpd y, sebab itu dia tak mau menerima y.","Barong tongkok. (Kubar)","",
5,1605591573625901056,"https://twitter.com/FandaraRasya/statuses/1605591573625901056","https://twitter.com/FandaraRasya/statuses/1605591573625901056","FandaraRasya","@evamuzdalifah15 Pasti itu #bersamajuara #ridwankamil","@evamuzdalifah15 Pasti itu #bersamajuara #ridwankamil","2022-12-21 10:50:36","Twitter Web App",0,0,"in","","reply","evamuzdalifah15",502979605,1605485498532696065,"",0,0,1103591324186361856,"https://pbs.twimg.com/profile_images/1103716131141898241/AdGIfgLs_normal.jpg",368,20,6,"2019-03-07 04:40:50","Fanda Busan panda","","",
6,1605591425449541632,"https://twitter.com/FandaraRasya/statuses/1605591425449541632","https://twitter.com/FandaraRasya/statuses/1605591425449541632","FandaraRasya","@evamuzdalifah15 @wulanrahmasari1 Mantab kan #bersamajuara #ridwankamil","@evamuzdalifah15 @wulanrahmasari1 Mantab kan #bersamajuara #ridwankamil","2022-12-21 10:50:00","Twitter Web App",0,0,"in","","reply","evamuzdalifah15",502979605,1605484853192888320,"",0,0,1103591324186361856,"https://pbs.twimg.com/profile_images/1103716131141898241/AdGIfgLs_normal.jpg",368,20,6,"2019-03-07 04:40:50","Fanda Busan panda","","",
7,1605591391358181384,"https://twitter.com/FandaraRasya/statuses/1605591391358181384","https://twitter.com/FandaraRasya/statuses/1605591391358181384","FandaraRasya","@EnditaTata @wulanrahmasari1 Apa tuhh #bersamajuara #ridwankamil","@EnditaTata @wulanrahmasari1 Apa tuhh #bersamajuara #ridwankamil","2022-12-21 10:49:52","Twitter Web App",0,0,"in","","reply","EnditaTata",482480212,1605582074059948032,"",0,0,1103591324186361856,"https://pbs.twimg.com/profile_images/1103716131141898241/AdGIfgLs_normal.jpg",368,20,6,"2019-03-07 04:40:50","Fanda Busan panda","","",
8,1605591215071563777,"https://twitter.com/ahyathalda/statuses/1605591215071563777","https://twitter.com/ahyathalda/statuses/1605591215071563777","ahyathalda","Diklaim Bakal Masuk PAN, Ridwan Kamil Bilang Begini:""Nanti pasti dikabari, tenang aja,"" kata RK https://t.co/CLbDwDt0Wn #bersamajuara #ridwankamil","Diklaim Bakal Masuk PAN, Ridwan Kamil Bilang Begini:""Nanti pasti dikabari, tenang aja,"" kata RK https://t.co/CLbDwDt0Wn #bersamajuara #ridwankamil","2022-12-21 10:49:10","Twitter Web App",0,0,"in","","original","",0,0,"",0,0,2421663451,"https://pbs.twimg.com/profile_images/574898229466157056/5KBYFIyL_normal.jpeg",584,88,198,"2014-04-01 02:33:55","Salah satu sifat munafik itu ialah menganggap nasihat org sbagai sindiran kpd y, sebab itu dia tak mau menerima y.","Barong tongkok. (Kubar)","",
9,1605591212756414465,"https://twitter.com/FandaraRasya/statuses/1605591212756414465","https://twitter.com/FandaraRasya/statuses/1605591212756414465","FandaraRasya","@evamuzdalifah15 Juara lebih tepatnya #bersamajuara #ridwankamil","@evamuzdalifah15 Juara lebih tepatnya #bersamajuara #ridwankamil","2022-12-21 10:49:10","Twitter Web App",0,0,"in","","reply","evamuzdalifah15",502979605,1605483738988630016,"",0,0,1103591324186361856,"https://pbs.twimg.com/profile_images/1103716131141898241/AdGIfgLs_normal.jpg",368,20,6,"2019-03-07 04:40:50","Fanda Busan panda","","",
10,1605591163171246080,"https://twitter.com/FandaraRasya/statuses/1605591163171246080","https://twitter.com/FandaraRasya/statuses/1605591163171246080","FandaraRasya","@febbynovalia Harus donk #bersamajuara #ridwankamil","@febbynovalia Harus donk #bersamajuara #ridwankamil","2022-12-21 10:48:58","Twitter Web App",0,0,"in","","reply","febbynovalia",1221710966,1605542314180370432,"",0,0,1103591324186361856,"https://pbs.twimg.com/profile_images/1103716131141898241/AdGIfgLs_normal.jpg",368,20,6,"2019-03-07 04:40:50","Fanda Busan panda","","",
