id,tweetid,guid,link,author,title,description,pubdate,source,favorite_count,retweet_count,lang,quoted_text,tweet_type,in_reply_to_screen_name,in_reply_to_user_id,in_reply_to_status_id,retweeted_screen_name,retweeted_user_id,retweeted_status_id,user_id,profile_image_url,user_statuses_count,user_friends_count,user_followers_count,user_created_at,user_bio,user_location,user_verified
1,1585277724679016452,https://twitter.com/Dediy_orlando/statuses/1585277724679016452,https://twitter.com/Dediy_orlando/statuses/1585277724679016452,Dediy_orlando,"RT @ridwankamil: Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianj…","Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianjur Jawa Barat.

Seperti halnya boneka astoronot yang dijual di Museum Antariksa di Washington DC USA.

#JabarJuara #IndonesiaJuara https://t.co/1C58Way2cD",2022-10-26 10:30:37,Twitter for Android,0,9,in,,retweet,,0,0,ridwankamil,80323736,1585275332340219904,2331518228,https://pbs.twimg.com/profile_images/1569346087877746688/kD9Cem4t_normal.jpg,8191,381,149,2014-02-07 03:20:30,,"Cimahi Selatan, Indonesia",
2,1585277644756512771,https://twitter.com/indra53setiawan/statuses/1585277644756512771,https://twitter.com/indra53setiawan/statuses/1585277644756512771,indra53setiawan,"RT @ridwankamil: Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianj…","Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianjur Jawa Barat.

Seperti halnya boneka astoronot yang dijual di Museum Antariksa di Washington DC USA.

#JabarJuara #IndonesiaJuara https://t.co/1C58Way2cD",2022-10-26 10:30:18,Twitter for Android,0,9,in,,retweet,,0,0,ridwankamil,80323736,1585275332340219904,1075916971,https://pbs.twimg.com/profile_images/1233720376779132929/xRmBVSh9_normal.jpg,15579,279,349,2013-01-10 02:14:36,,,
3,1585277610723926018,https://twitter.com/paulus_91/statuses/1585277610723926018,https://twitter.com/paulus_91/statuses/1585277610723926018,paulus_91,@ridwankamil Jadi inget jasnya Donald Trump dibuat di Indonesia.,@ridwankamil Jadi inget jasnya Donald Trump dibuat di Indonesia.,2022-10-26 10:30:10,Twitter Web App,0,0,in,,reply,ridwankamil,80323736,1585275332340219904,,0,0,85576821,https://pbs.twimg.com/profile_images/1488591940908032000/DzYEsegv_normal.jpg,24031,79,313,2009-10-27 10:11:47,"Bachelor of Science. #FPL. Feel free to fol/unfollow.
IG paulus_91 is not me ?","Kota Tasikmalaya, Jawa Barat",
4,1585277399473586178,https://twitter.com/sistephat/statuses/1585277399473586178,https://twitter.com/sistephat/statuses/1585277399473586178,sistephat,"Lha ini ketentuan apa? 
Emangnya penduduk kota dan kabupaten Bogor semuanya Muslim? 
Bikin ketentuan yg masuk akal dong! 
Cc @PolresBogorKota 
@polreskabbogor 
@BimaAryaS
@ridwankamil
@DivHumas_Polri 
@ListyoSigitP 
@mohmahfudmd 
@jokowi 
Pay attention to this ?????? https://t.co/pyZYfI52nW","Lha ini ketentuan apa? 
Emangnya penduduk kota dan kabupaten Bogor semuanya Muslim? 
Bikin ketentuan yg masuk akal dong! 
Cc @PolresBogorKota 
@polreskabbogor 
@BimaAryaS
@ridwankamil
@DivHumas_Polri 
@ListyoSigitP 
@mohmahfudmd 
@jokowi 
Pay attention to this ?????? https://t.co/pyZYfI52nW",2022-10-26 10:29:19,Twitter for Android,1,0,in,Kira2 kalo Nonis disanksi baca apaan ??? https://t.co/ChtJvMkL1j,quote,p1_eka,1525293877371973635,1585212181716819968,,0,0,220953377,https://pbs.twimg.com/profile_images/1388238974292922369/sysStzUS_normal.jpg,3958,156,94,2010-11-29 04:52:38,I am dreaming the people in whole the globe were fight for all mankind prosperity. And I will share my dream with the teenagers.,Indonesia,
5,1585277182384869378,https://twitter.com/geopani28/statuses/1585277182384869378,https://twitter.com/geopani28/statuses/1585277182384869378,geopani28,@ridwankamil Bangga janten orang Cianjur mah,@ridwankamil Bangga janten orang Cianjur mah,2022-10-26 10:28:27,Twitter for Android,0,0,in,,reply,ridwankamil,80323736,1585275332340219904,,0,0,1578665350572691457,https://pbs.twimg.com/profile_images/1578665723765100545/7dXLOHtY_normal.jpg,12,60,0,2022-10-08 04:35:36,,,
6,1585276916658892808,https://twitter.com/SitiMaesarah8/statuses/1585276916658892808,https://twitter.com/SitiMaesarah8/statuses/1585276916658892808,SitiMaesarah8,"RT @ridwankamil: Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianj…","Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianjur Jawa Barat.

Seperti halnya boneka astoronot yang dijual di Museum Antariksa di Washington DC USA.

#JabarJuara #IndonesiaJuara https://t.co/1C58Way2cD",2022-10-26 10:27:24,Twitter for Android,0,9,in,,retweet,,0,0,ridwankamil,80323736,1585275332340219904,866530364839280641,https://pbs.twimg.com/profile_images/1583972721444016128/X3YFT7Yg_normal.jpg,234,154,53,2017-05-22 01:45:13,,"Karawang, Jawa Barat",
7,1585276600941047808,https://twitter.com/irfnsfnOBYC/statuses/1585276600941047808,https://twitter.com/irfnsfnOBYC/statuses/1585276600941047808,irfnsfnOBYC,"RT @ridwankamil: Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianj…","Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianjur Jawa Barat.

Seperti halnya boneka astoronot yang dijual di Museum Antariksa di Washington DC USA.

#JabarJuara #IndonesiaJuara https://t.co/1C58Way2cD",2022-10-26 10:26:09,Twitter for Android,0,9,in,,retweet,,0,0,ridwankamil,80323736,1585275332340219904,1555740037215825920,https://pbs.twimg.com/profile_images/1584532756201017344/HR5g0rEg_normal.jpg,3269,372,203,2022-08-05 22:18:41,@OkayBearsYC?????? | ?? @0xTribe_NFT,Bear Clubhouse,
8,1585276310015787010,https://twitter.com/bolehmain/statuses/1585276310015787010,https://twitter.com/bolehmain/statuses/1585276310015787010,bolehmain,"@ridwankamil Karna biaya produksi di indo murah, dapet quality nya bagus ygy

Banyak buatan indo dari jersey emyu, bola piala dunia, dll","@ridwankamil Karna biaya produksi di indo murah, dapet quality nya bagus ygy

Banyak buatan indo dari jersey emyu, bola piala dunia, dll",2022-10-26 10:24:59,Twitter for Android,0,0,in,,reply,ridwankamil,80323736,1585275332340219904,,0,0,1334402666,https://pbs.twimg.com/profile_images/1051772147150901248/Or9blwoy_normal.jpg,26111,595,1409,2013-04-07 11:43:46,sopo sek kuat junjung Prambanan?,Jkt,
9,1585276099579154432,https://twitter.com/bimatigabdg/statuses/1585276099579154432,https://twitter.com/bimatigabdg/statuses/1585276099579154432,bimatigabdg,"Hallo sobat bima tiga ??
di wilayah Kota Bandung dan sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan Sapu Lobang Hotmix ruas Jl.Setiabudi. 
Mohon maaf untuk sementara perjalanannya terganggu ??.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/9HWVUwtgjI","Hallo sobat bima tiga ??
di wilayah Kota Bandung dan sekitarnya,ijin menginformasikan ada pemeliharaan jalan yaitu pekerjaan Sapu Lobang Hotmix ruas Jl.Setiabudi. 
Mohon maaf untuk sementara perjalanannya terganggu ??.
@bimautamajabar
@ridwankamil
#dbmprjuara https://t.co/9HWVUwtgjI",2022-10-26 10:24:09,Twitter for Android,0,0,in,,original,,0,0,,0,0,1566615229941059584,https://pbs.twimg.com/profile_images/1566615553468682241/9wbXDGpK_normal.jpg,421,133,197,2022-09-04 22:33:00,"UPTD Pengelolaan Jalan Wilayah Pelayanan III Prov jabar: 
-Kota Bandung - Kab Bandung - Kab Bandung Barat - Kab Subang - Kab Purwakarta - Kab Karawang",,
10,1585275979366219776,https://twitter.com/AcengAngki/statuses/1585275979366219776,https://twitter.com/AcengAngki/statuses/1585275979366219776,AcengAngki,"RT @ridwankamil: Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianj…","Hidup Cianjur! 

Suatu hari dunia boneka sedunia akan dikuasai oleh produk-produk buatan tangan-tangan terampil dari Cianjur Jawa Barat.

Seperti halnya boneka astoronot yang dijual di Museum Antariksa di Washington DC USA.

#JabarJuara #IndonesiaJuara https://t.co/1C58Way2cD",2022-10-26 10:23:41,Twitter for Android,0,9,in,,retweet,,0,0,ridwankamil,80323736,1585275332340219904,1186449919659266048,https://pbs.twimg.com/profile_images/1582271506901438464/NG5Mo6VQ_normal.jpg,39325,444,254,2019-10-21 21:11:38,"MANUT KYAI NU & NW...
Gemah Ripah Love KYAI.
????Tidak Bhinneka Bukan Indonesia????",,
